"OldFullPath","OldName","Module","Date","FeatureKey","DocType","SourcePattern","LegacyTaskKey","Version","NewName","NewFullPath"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\activity\2026-04-03_acti-order-expired-analysis_implementation_plan.md","2026-04-03_acti-order-expired-analysis_implementation_plan.md","activity","2026-04-03","acti-order-expired-analysis","implementation_plan","date-topic-doctype","activity|2026-04-03|acti-order-expired-analysis|acti-order-expired-analysis","v01","2026-04-03_acti-order-expired-analysis_v01_implementation_plan.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\activity\2026-04-03_acti-order-expired-analysis_v01_implementation_plan.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\activity\2026-04-03_acti-order-expired-analysis_walkthrough.md","2026-04-03_acti-order-expired-analysis_walkthrough.md","activity","2026-04-03","acti-order-expired-analysis","walkthrough","date-topic-doctype","activity|2026-04-03|acti-order-expired-analysis|acti-order-expired-analysis","v01","2026-04-03_acti-order-expired-analysis_v01_walkthrough.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\activity\2026-04-03_acti-order-expired-analysis_v01_walkthrough.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\agent\2026-04-04_14-24-27_agent_plan-archive-standard_implementation_plan.md","2026-04-04_14-24-27_agent_plan-archive-standard_implementation_plan.md","agent","2026-04-04","plan-archive-standard","implementation_plan","date-topic-doctype","agent|2026-04-04|plan-archive-standard|plan-archive-standard","v01","2026-04-04_plan-archive-standard_v01_implementation_plan.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\agent\2026-04-04_plan-archive-standard_v01_implementation_plan.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\agent\2026-04-04_14-24-27_agent_plan-archive-standard_walkthrough.md","2026-04-04_14-24-27_agent_plan-archive-standard_walkthrough.md","agent","2026-04-04","plan-archive-standard","walkthrough","date-topic-doctype","agent|2026-04-04|plan-archive-standard|plan-archive-standard","v01","2026-04-04_plan-archive-standard_v01_walkthrough.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\agent\2026-04-04_plan-archive-standard_v01_walkthrough.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\agent\2026-04-04_plan-naming-order_implementation_plan.md","2026-04-04_plan-naming-order_implementation_plan.md","agent","2026-04-04","plan-naming-order","implementation_plan","date-topic-doctype","agent|2026-04-04|plan-naming-order|plan-naming-order","v01","2026-04-04_plan-naming-order_v01_implementation_plan.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\agent\2026-04-04_plan-naming-order_v01_implementation_plan.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\agent\2026-04-04_plan-naming-order_walkthrough.md","2026-04-04_plan-naming-order_walkthrough.md","agent","2026-04-04","plan-naming-order","walkthrough","date-topic-doctype","agent|2026-04-04|plan-naming-order|plan-naming-order","v01","2026-04-04_plan-naming-order_v01_walkthrough.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\agent\2026-04-04_plan-naming-order_v01_walkthrough.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\file\2026-04-03_webp-support-analysis_implementation_plan.md","2026-04-03_webp-support-analysis_implementation_plan.md","file","2026-04-03","webp-support-analysis","implementation_plan","date-topic-doctype","file|2026-04-03|webp-support-analysis|webp-support-analysis","v01","2026-04-03_webp-support-analysis_v01_implementation_plan.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\file\2026-04-03_webp-support-analysis_v01_implementation_plan.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\file\2026-04-03_webp-support-analysis_walkthrough.md","2026-04-03_webp-support-analysis_walkthrough.md","file","2026-04-03","webp-support-analysis","walkthrough","date-topic-doctype","file|2026-04-03|webp-support-analysis|webp-support-analysis","v01","2026-04-03_webp-support-analysis_v01_walkthrough.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\file\2026-04-03_webp-support-analysis_v01_walkthrough.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\implementation_plan_douyin_spi.md","implementation_plan_douyin_spi.md","order","2026-03-27","douyin-spi","implementation_plan","doctype-topic","order|2026-03-27|douyin-spi|douyin_spi","v01","2026-03-27_douyin-spi_v01_implementation_plan.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\2026-03-27_douyin-spi_v01_implementation_plan.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\walkthrough_douyin_spi.md","walkthrough_douyin_spi.md","order","2026-03-27","douyin-spi","walkthrough","doctype-topic","order|2026-03-27|douyin-spi|douyin_spi","v01","2026-03-27_douyin-spi_v01_walkthrough.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\2026-03-27_douyin-spi_v01_walkthrough.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\implementation_plan_v5.3.md","implementation_plan_v5.3.md","order","2026-03-27","v5-3","implementation_plan","doctype-topic","order|2026-03-27|v5-3|v5.3","v01","2026-03-27_v5-3_v01_implementation_plan.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\2026-03-27_v5-3_v01_implementation_plan.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\walkthrough_v5.3.md","walkthrough_v5.3.md","order","2026-03-27","v5-3","walkthrough","doctype-topic","order|2026-03-27|v5-3|v5.3","v01","2026-03-27_v5-3_v01_walkthrough.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\2026-03-27_v5-3_v01_walkthrough.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\implementation_plan_douyin_default_field_alignment_20260331.md","implementation_plan_douyin_default_field_alignment_20260331.md","order","2026-03-31","douyin-default-field-alignment","implementation_plan","doctype-topic-date8","order|2026-03-31|douyin-default-field-alignment|douyin_default_field_alignment","v01","2026-03-31_douyin-default-field-alignment_v01_implementation_plan.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\2026-03-31_douyin-default-field-alignment_v01_implementation_plan.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\walkthrough_douyin_default_field_alignment_20260331.md","walkthrough_douyin_default_field_alignment_20260331.md","order","2026-03-31","douyin-default-field-alignment","walkthrough","doctype-topic-date8","order|2026-03-31|douyin-default-field-alignment|douyin_default_field_alignment","v01","2026-03-31_douyin-default-field-alignment_v01_walkthrough.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\2026-03-31_douyin-default-field-alignment_v01_walkthrough.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\douyin_spi_default_fields_plan.md","douyin_spi_default_fields_plan.md","order","2026-03-31","douyin-spi-default-fields","implementation_plan","topic-shorttype","order|2026-03-31|douyin-spi-default-fields|douyin_spi_default_fields","v01","2026-03-31_douyin-spi-default-fields_v01_implementation_plan.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\2026-03-31_douyin-spi-default-fields_v01_implementation_plan.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\douyin_spi_default_fields_walkthrough.md","douyin_spi_default_fields_walkthrough.md","order","2026-03-31","douyin-spi-default-fields","walkthrough","topic-shorttype","order|2026-03-31|douyin-spi-default-fields|douyin_spi_default_fields","v01","2026-03-31_douyin-spi-default-fields_v01_walkthrough.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\2026-03-31_douyin-spi-default-fields_v01_walkthrough.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\implementation_plan_api_pojo_alignment_20260401.md","implementation_plan_api_pojo_alignment_20260401.md","order","2026-04-01","api-pojo-alignment","implementation_plan","doctype-topic-date8","order|2026-04-01|api-pojo-alignment|api_pojo_alignment","v01","2026-04-01_api-pojo-alignment_v01_implementation_plan.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\2026-04-01_api-pojo-alignment_v01_implementation_plan.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\walkthrough_api_pojo_alignment_20260401.md","walkthrough_api_pojo_alignment_20260401.md","order","2026-04-01","api-pojo-alignment","walkthrough","doctype-topic-date8","order|2026-04-01|api-pojo-alignment|api_pojo_alignment","v01","2026-04-01_api-pojo-alignment_v01_walkthrough.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\2026-04-01_api-pojo-alignment_v01_walkthrough.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\implementation_plan_douyin_a30_cancel_type_split_20260401.md","implementation_plan_douyin_a30_cancel_type_split_20260401.md","order","2026-04-01","douyin-a30-cancel-type-split","implementation_plan","doctype-topic-date8","order|2026-04-01|douyin-a30-cancel-type-split|douyin_a30_cancel_type_split","v01","2026-04-01_douyin-a30-cancel-type-split_v01_implementation_plan.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\2026-04-01_douyin-a30-cancel-type-split_v01_implementation_plan.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\walkthrough_douyin_a30_cancel_type_split_20260401.md","walkthrough_douyin_a30_cancel_type_split_20260401.md","order","2026-04-01","douyin-a30-cancel-type-split","walkthrough","doctype-topic-date8","order|2026-04-01|douyin-a30-cancel-type-split|douyin_a30_cancel_type_split","v01","2026-04-01_douyin-a30-cancel-type-split_v01_walkthrough.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\2026-04-01_douyin-a30-cancel-type-split_v01_walkthrough.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\implementation_plan_douyin_create_order_mode_status_20260401.md","implementation_plan_douyin_create_order_mode_status_20260401.md","order","2026-04-01","douyin-create-order-mode-status","implementation_plan","doctype-topic-date8","order|2026-04-01|douyin-create-order-mode-status|douyin_create_order_mode_status","v01","2026-04-01_douyin-create-order-mode-status_v01_implementation_plan.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\2026-04-01_douyin-create-order-mode-status_v01_implementation_plan.md"
"D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\walkthrough_douyin_create_order_mode_status_20260401.md","walkthrough_douyin_create_order_mode_status_20260401.md","order","2026-04-01","douyin-create-order-mode-status","walkthrough","doctype-topic-date8","order|2026-04-01|douyin-create-order-mode-status|douyin_create_order_mode_status","v01","2026-04-01_douyin-create-order-mode-status_v01_walkthrough.md","D:\08-Work\01-博思\10-平台2.0\.agent\plan\order\2026-04-01_douyin-create-order-mode-status_v01_walkthrough.md"
